"";"Frequency";"Percent";"Cum. percent"
"[20,25)";2;5,6;5,6
"[25,30)";6;16,7;22,2
"[30,35)";10;27,8;50
"[35,40)";8;22,2;72,2
"[40,45)";8;22,2;94,4
"[45,50)";2;5,6;100
"  Total";36;100;100
